
dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score
Baseline,Boosting SVM,True,0.6063217479723616,0.18358743418782997,0.6063217479723616,0.969003036437247,0.9783869267264101,0.9305130915596032
Baseline,Stacking SVM,True,0.9987348977974204,0.0013267282511173842,0.9987348977974204,1.0,0.9968371112282551,0.9876268473258439
Manual,Decision Tree,True,0.989625537434247,0.0012392046312383195,0.989625537434247,0.9901315789473685,0.9820769636267791,0.9307295105645427
Manual,KNN,True,0.9889929463006111,0.001629657987845245,0.9889929463006111,0.990005060728745,0.9820769636267791,0.9320000727563753
Manual,LVQ,True,0.9872215950487995,0.002094393190900291,0.9872215950487995,0.9873481781376519,0.9820769636267791,0.9294863916839492
Manual,SVM,True,0.9886132795298602,0.001697774856077673,0.9886132795298602,0.988992914979757,0.9836584080126516,0.9350445272859066
Manual,MLP,True,0.9884867773160714,0.0017624113950853882,0.9884867773160714,0.9878542510121457,0.9831312598840274,0.9331759140805546
Manual,Bagging LVQ,True,0.9863359194228938,0.0019026061015393952,0.9863359194228938,0.986336032388664,0.9826041117554033,0.9313232701687301
Manual,Bagging KNN,True,0.9891194485143997,0.0016199147821502038,0.9891194485143997,0.9898785425101214,0.9820769636267791,0.9320000727563753
Manual,Bagging SVM,True,0.9884867773160716,0.001850986258024578,0.9884867773160716,0.9886133603238867,0.9826041117554033,0.9313232701687301
Manual,Bagging MLP,True,0.9873480972625881,0.0019603093342803147,0.9873480972625881,0.9873481781376519,0.9820769636267791,0.9294863916839492
Manual,Boosting DTREE,True,0.9883607554904362,0.0038485706919117522,0.9883607554904362,1.0,0.9773326304691619,0.9265980906279413
Manual,SVM,True,0.9886132795298602,0.001697774856077673,0.9886132795298602,0.988992914979757,0.9836584080126516,0.9350445272859066
Manual,MLP,True,0.9884867773160714,0.0017624113950853882,0.9884867773160714,0.9878542510121457,0.9831312598840274,0.9331759140805546
Manual,Bagging LVQ,True,0.9863359194228938,0.0019026061015393952,0.9863359194228938,0.986336032388664,0.9826041117554033,0.9313232701687301
Manual,Bagging KNN,True,0.9891194485143997,0.0016199147821502038,0.9891194485143997,0.9898785425101214,0.9820769636267791,0.9320000727563753
Manual,Bagging SVM,True,0.9884867773160716,0.001850986258024578,0.9884867773160716,0.9886133603238867,0.9826041117554033,0.9313232701687301
Manual,Bagging MLP,True,0.9873480972625881,0.0019603093342803147,0.9873480972625881,0.9873481781376519,0.9820769636267791,0.9294863916839492
Manual,Boosting DTREE,True,0.9883607554904362,0.0038485706919117522,0.9883607554904362,1.0,0.9773326304691619,0.9265980906279413
Manual,Boosting SVM,True,0.5965824386103973,0.1937973882897381,0.5965824386103973,0.9822874493927125,0.981549815498155,0.9340453758281566
Manual,Stacking SVM,True,0.9887398618083412,0.0012266364895900962,0.9887398618083412,0.9919028340080972,0.9831312598840274,0.9371283863990082
PCA,Decision Tree,True,0.9916498130489437,0.0013505781527450545,0.9916498130489437,0.9984817813765182,0.9699525566684238,0.9099460616902477
PCA,KNN,True,0.9978489819774378,0.0013630505926851492,0.9978489819774378,0.9998734817813765,0.9604638903531892,0.888927446185031
PCA,LVQ,True,0.9787441052370316,0.0046460929184296,0.9787441052370316,0.9814018218623481,0.9609910384818134,0.8745370885836968
PCA,SVM,True,0.9943067598619685,0.0011311128058958484,0.9943067598619685,0.9959514170040485,0.8835002635740643,0.7332047935453251
PCA,MLP,True,0.9960781111137799,0.0010115774614391005,0.9960781111137799,0.99709008097166,0.9699525566684238,0.9052944299033985
PCA,Bagging LVQ,True,0.9741904258640982,0.0034494955574450852,0.9741904258640982,0.9738107287449392,0.9467580390089615,0.8348994294106724
PCA,Bagging KNN,True,0.9973428129928983,0.0016209693143505073,0.9973428129928983,0.9994939271255061,0.9630996309963099,0.8848736719028011
PCA,Bagging SVM,True,0.9896255374342469,0.0016296701582296418,0.9896255374342469,0.9902580971659919,0.9615181866104375,0.8719051287438431
PCA,Bagging MLP,True,0.988233772888494,0.0016784735888366938,0.988233772888494,0.988992914979757,0.9673168160253031,0.8926423717601779
PCA,Boosting DTREE,True,0.9970900487593977,0.0014753255169491855,0.9970900487593977,1.0,0.9773326304691619,0.9336347348972622
PCA,Boosting SVM,True,0.6319997758188617,0.16313580242623735,0.6319997758188617,0.9574898785425101,0.9704797047970479,0.9143903990266294
PCA,Stacking SVM,True,0.9962042130041073,0.0015502123236492173,0.9962042130041073,0.9993674089068826,0.9720611491829204,0.9126288852361027
Manual,Bagging LVQ,True,0.9863359194228938,0.0019026061015393952,0.9863359194228938,0.986336032388664,0.9826041117554033,0.9313232701687301
Manual,Bagging KNN,True,0.9891194485143997,0.0016199147821502038,0.9891194485143997,0.9898785425101214,0.9820769636267791,0.9320000727563753
Manual,Bagging SVM,True,0.9884867773160716,0.001850986258024578,0.9884867773160716,0.9886133603238867,0.9826041117554033,0.9313232701687301
Manual,Bagging MLP,True,0.9873480972625881,0.0019603093342803147,0.9873480972625881,0.9873481781376519,0.9820769636267791,0.9294863916839492
Manual,Boosting DTREE,True,0.9883607554904362,0.0038485706919117522,0.9883607554904362,1.0,0.9773326304691619,0.9265980906279413
Manual,Boosting SVM,True,0.5965824386103973,0.1937973882897381,0.5965824386103973,0.9822874493927125,0.981549815498155,0.9340453758281566
Manual,Stacking SVM,True,0.9887398618083412,0.0012266364895900962,0.9887398618083412,0.9919028340080972,0.9831312598840274,0.9371283863990082
PCA,Decision Tree,True,0.9917763953274246,0.0026533044925498846,0.9917763953274246,1.0,0.9768054823405377,0.9315722123716168
PCA,KNN,True,0.9978489819774378,0.0013630505926851492,0.9978489819774378,0.9998734817813765,0.9604638903531892,0.888927446185031
PCA,LVQ,True,0.9787441052370316,0.0046460929184296,0.9787441052370316,0.9814018218623481,0.9609910384818134,0.8745370885836968
PCA,SVM,True,0.9943067598619685,0.0011311128058958484,0.9943067598619685,0.9959514170040485,0.8835002635740643,0.7332047935453251
PCA,MLP,True,0.9962044531981842,0.0019185013016897294,0.9962044531981842,0.9977226720647774,0.9688982604111755,0.9017226989384732
PCA,Bagging LVQ,True,0.9741904258640982,0.0034494955574450852,0.9741904258640982,0.9738107287449392,0.9467580390089615,0.8348994294106724
PCA,Bagging KNN,True,0.9973428129928983,0.0016209693143505073,0.9973428129928983,0.9994939271255061,0.9630996309963099,0.8848736719028011
PCA,Bagging SVM,True,0.9896255374342469,0.0016296701582296418,0.9896255374342469,0.9902580971659919,0.9615181866104375,0.8719051287438431
PCA,Bagging MLP,True,0.988233772888494,0.0016784735888366938,0.988233772888494,0.988992914979757,0.9673168160253031,0.8926423717601779
PCA,Boosting DTREE,True,0.9970900487593977,0.0014753255169491855,0.9970900487593977,1.0,0.9773326304691619,0.9336347348972622
PCA,Boosting SVM,True,0.6319997758188617,0.16313580242623735,0.6319997758188617,0.9574898785425101,0.9704797047970479,0.9143903990266294
PCA,Stacking SVM,True,0.9962042130041073,0.0015502123236492173,0.9962042130041073,0.9993674089068826,0.9720611491829204,0.9126288852361027
