dataset,model,oversampling,mean_acc_cv,std_acc_cv,best_acc,train_full_acc_score,test_acc_score,auc_score,cv_scores
Manual,KNN,False,0.9798826597131681,0.003739738374643891,0.9798826597131681,0.989376130198915,0.9762783342119136,0.9295289342018315,[0.97288136 0.98305085 0.97966102 0.98305085 0.98076923]
Manual,LVQ,False,0.9796556484392974,0.002267950889873983,0.9796556484392974,0.9794303797468354,0.9810226673695308,0.9295354505438539,[0.98079096 0.98305085 0.97966102 0.97853107 0.97624434]
Manual,SVM,False,0.9812380806299051,0.0025419227215964504,0.9812380806299051,0.9814647377938517,0.9831312598840274,0.935781942131884,[0.98305085 0.98531073 0.97966102 0.97966102 0.97850679]
Manual,MLP,False,0.9805603701715366,0.0028955190130652035,0.9805603701715366,0.9810126582278481,0.9841855561412757,0.936929317181418,[0.98079096 0.98531073 0.97627119 0.98079096 0.97963801]
Manual,Bagging LVQ,False,0.9749088631541273,0.0037462019110739,0.9749088631541273,0.9776220614828209,0.9799683711122825,0.9296222532907753,[0.9740113  0.97175141 0.9819209  0.97514124 0.97171946]
Manual,Bagging KNN,False,0.9782986936626019,0.0033946742843375846,0.9782986936626019,0.9839511754068716,0.9783869267264101,0.9347960084628583,[0.98079096 0.98079096 0.97853107 0.97966102 0.97171946]
Manual,Bagging SVM,False,0.9807861032287752,0.0025809424603158307,0.9807861032287752,0.98123869801085,0.9841855561412757,0.936929317181418,[0.9819209  0.98531073 0.97853107 0.97966102 0.97850679]
Manual,Bagging MLP,False,0.9789779379809291,0.0015380318379403578,0.9789779379809291,0.9803345388788427,0.9799683711122825,0.9336682901543214,[0.97740113 0.98079096 0.97853107 0.98079096 0.97737557]
Manual,Boosting DTREE,False,0.979655904082624,0.005204881049734919,0.979655904082624,1.0,0.974169741697417,0.9300924942442285,[0.97740113 0.98983051 0.97514124 0.97853107 0.97737557]
Manual,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,,[0.89378531 0.89378531 0.89265537 0.89265537 0.89366516]
Manual,Stacking SVM,False,0.979655392795971,0.002586538688858585,0.979655392795971,0.9853074141048824,0.9757511860832894,0.9349622326010495,[0.98079096 0.9819209  0.97853107 0.9819209  0.97511312]
PCA,Decision Tree,False,0.985080655469489,0.003309851969344927,0.985080655469489,0.9995479204339964,0.9625724828676858,0.9098515395894428,[0.98870056 0.98531073 0.98079096 0.98870056 0.98190045]
PCA,KNN,False,0.9925393051614388,0.0034028658502253755,0.9925393051614388,1.0,0.959409594095941,0.8931890830756403,[0.99661017 0.9920904  0.99435028 0.99322034 0.98642534]
PCA,LVQ,False,0.9697085666078686,0.005189149750638488,0.9697085666078686,0.9701627486437613,0.9462308908803374,0.9394074714299434,[0.97175141 0.96949153 0.97627119 0.97062147 0.96040724]
PCA,SVM,False,0.9927660607919829,0.0020989608666232575,0.9927660607919829,0.9963833634719711,0.9478123352662098,0.84610686095932,[0.99435028 0.99096045 0.99548023 0.99322034 0.989819  ]
PCA,MLP,False,0.986211877188946,0.0028030917126045727,0.986211877188946,0.9966094032549728,0.9736425935687928,0.9264977663892605,[0.98418079 0.98983051 0.98757062 0.9819209  0.98755656]
PCA,Bagging LVQ,False,0.9405506557251323,0.00478418611904531,0.9405506557251323,0.9475587703435805,0.9277807063784923,0.9308614410821122,[0.93559322 0.94689266 0.93785311 0.94576271 0.93665158]
PCA,Bagging KNN,False,0.9925395608047651,0.0036895597302269586,0.9925395608047651,0.9988698010849909,0.9673168160253031,0.9065218593590133,[0.99774011 0.98983051 0.99548023 0.9920904  0.98755656]
PCA,Bagging SVM,False,0.9868890763606615,0.0015390659070455852,0.9868890763606615,0.989376130198915,0.9636267791249341,0.9159036017081036,[0.98757062 0.98644068 0.98757062 0.98870056 0.9841629 ]
PCA,Bagging MLP,False,0.981010813712708,0.0044968781633982005,0.981010813712708,0.9821428571428571,0.9715340010542962,0.9408373326597625,[0.98079096 0.98305085 0.98644068 0.9819209  0.97285068]
PCA,Boosting DTREE,False,0.9911838842447018,0.0015032815353587913,0.9911838842447018,1.0,0.9820769636267791,0.9548924012015395,[0.99096045 0.9920904  0.99096045 0.99322034 0.98868778]
PCA,Boosting SVM,False,0.8933093028606489,0.0005357357090808131,0.8933093028606489,0.8933092224231465,0.8929889298892989,,[0.89378531 0.89378531 0.89265537 0.89265537 0.89366516]
